 1 , 1477667284.403548 , 102.7 
 2 , 1477667389.794839 , 197.8 
 3 , 1477667601.932813 , 383.52 
 4 , 1477667993.956512 , 96.71 
 5 , 1477668099.674573 , 147.42 
 6 , 1477668256.859352 , 233.89 
 7 , 1477668501.478124 , 236.42 
 8 , 1477668749.66221 , 153.9 
 9 , 1477668913.315011 , 260.32 
 10 , 1477669187.156776 , 234.57 
 11 , 1477669431.450199 , 153.92 
 12 , 1477669594.019728 , 219.07 
 13 , 1477669821.350419 , 216.64 
 14 , 1477670049.9308 , 215.44 
 15 , 1477670278.688014 , 225.02 
 16 , 1477670513.259691 , 221.36 
 17 , 1477670747.302679 , 186.95 
 18 , 1477670946.799845 , 205.05 
 19 , 1477671165.376107 , 225.92 
 20 , 1477671404.188749 , 398.29 
 21 , 1477671814.101651 , 160.84 
 22 , 1477671988.264413 , 161.88 
 23 , 1477672163.500764 , 100.34 
 24 , 1477672278.837168 , 168.44 
 25 , 1477672456.424864 , 165.27 
 26 , 1477672633.29527 , 213.66 
 27 , 1477672857.288199 , 214.31 
 28 , 1477673080.101699 , 213.68 
 29 , 1477673304.197587 , 212.43 
 30 , 1477673527.469516 , 213.27 
 31 , 1477673750.840222 , 214.3 
 32 , 1477673977.241179 , 213.03 
 33 , 1477674208.505148 , 175.56 
 34 , 1477674403.521367 , 186.88 
 35 , 1477674603.451683 , 184.55 
 36 , 1477674797.631227 , 185.53 
 37 , 1477674998.405014 , 183.37 
 38 , 1477675193.736782 , 186.18 
 39 , 1477675392.89875 , 186.24 
 40 , 1477675593.560039 , 189.07 
 41 , 1477675793.107177 , 202.5 
 42 , 1477676008.043748 , 206.36 
 43 , 1477676227.235421 , 204.06 
 44 , 1477676445.778921 , 212.36 
 45 , 1477676669.831621 , 196.22 
 46 , 1477676879.577244 , 207.17 
 47 , 1477677098.233612 , 201.73 
 48 , 1477677314.643463 , 201.12 
 49 , 1477677528.134674 , 199.53 
 50 , 1477677736.558894 , 202.08 
 51 , 1477677950.90391 , 204.22 
 52 , 1477678165.94798 , 222.58 
 53 , 1477678399.796954 , 200.68 
 54 , 1477678615.483597 , 190.17 
 55 , 1477678815.482889 , 191.26 
 56 , 1477679020.404364 , 191.41 
 57 , 1477679225.321639 , 186.46 
 58 , 1477679428.944021 , 183.11 
 59 , 1477679622.954343 , 187.14 
 60 , 1477679823.043712 , 187.81 
 61 , 1477680023.618322 , 190.26 
 62 , 1477680222.839418 , 192.7 
 63 , 1477680427.077541 , 193.37 
 64 , 1477680630.945257 , 190.87 
 65 , 1477680835.302011 , 188.91 
 66 , 1477681035.355257 , 200.62 
 67 , 1477681249.645257 , 195.61 
 68 , 1477681458.862106 , 187.19 
 69 , 1477681658.45444 , 187.84 
 70 , 1477681858.122359 , 189.83 
 71 , 1477682057.699093 , 187.03 
 72 , 1477682257.746873 , 190.67 
 73 , 1477682463.667832 , 195.46 
 74 , 1477682668.195942 , 192.26 
 75 , 1477682873.330464 , 189.29 
 76 , 1477683072.870413 , 192.7 
 77 , 1477683278.970372 , 197.48 
 78 , 1477683489.605377 , 194.59 
 79 , 1477683694.43862 , 191.06 
 80 , 1477683899.045534 , 184.34 
 81 , 1477684094.949572 , 189.28 
 82 , 1477684295.798781 , 197.23 
 83 , 1477684506.903907 , 188.65 
 84 , 1477684707.653139 , 198.47 
 85 , 1477684918.588142 , 191.4 
